pID;block;trial;citynumber.100.Reset.;In.1..Out.0..Reset.3.;time
tsp01;1; 7; 18;1; 5,1549070
tsp01;1; 7; 10;1; 5,4542310
tsp01;1; 7; 14;1; 6,0042950
tsp01;1; 7;  2;1; 6,8859520
tsp01;1; 7;  4;1; 8,8047470
tsp01;1; 7; 13;1; 9,6856140
tsp01;1; 7;  1;1;10,7020200
tsp01;1; 7; 12;1;11,1704500
tsp01;1; 7; 19;1;11,7875700
tsp01;1; 7;  3;1;12,4365200
tsp01;1; 7;  5;1;13,0538300
tsp01;1; 7; 11;1;13,5039000
tsp01;1; 7;  0;1;14,3026900
tsp01;1; 7;  9;1;15,4539100
tsp01;1; 7;  6;1;15,9206800
tsp01;1; 7; 15;1;16,9191900
tsp01;1; 7;  7;1;18,0353700
tsp01;1; 8;  5;1; 2,9943620
tsp01;1; 8;  6;1; 3,8090780
tsp01;1; 8; 15;1; 4,2096560
tsp01;1; 8;  4;1; 4,8594210
tsp01;1; 8;  1;1; 5,1754760
tsp01;1; 8; 14;1; 6,0114440
tsp01;1; 8;  3;1; 6,4613690
tsp01;1; 8; 19;1; 6,8752020
tsp01;1; 8; 16;1; 7,5268290
tsp01;1; 8; 17;1; 8,2439420
tsp01;1; 8; 10;1; 9,1930050
tsp01;1; 8;  0;1; 9,9932250
tsp01;1; 8; 11;1;11,3764100
tsp01;1; 8; 12;1;11,9408900
tsp01;1; 8;  7;1;12,4927500
tsp01;1; 8;  9;1;12,9090700
tsp01;1; 8;  2;1;13,4757100
tsp01;1; 8; 18;1;15,0739000
tsp01;1; 8; 18;0;17,8751400
tsp01;1; 8;  8;1;19,2419600
tsp01;1; 8; 18;1;20,0893200
tsp01;1; 8; 13;1;21,0253300
tsp01;1; 8;  5;1;22,0235300
tsp01;1; 9; 15;1; 3,6461870
tsp01;1; 9; 10;1; 4,2300260
tsp01;1; 9;  0;1; 4,7276380
tsp01;1; 9;  8;1; 5,2960090
tsp01;1; 9;  9;1; 5,9962810
tsp01;1; 9; 12;1; 6,3964310
tsp01;1; 9; 13;1; 6,9628260
tsp01;1; 9; 17;1; 7,3957860
tsp01;1; 9; 14;1; 8,4951110
tsp01;1; 9;  1;1; 9,3121600
tsp01;1; 9;  2;1;10,3450800
tsp01;1; 9;  4;1;10,7767500
tsp01;1; 9;  3;1;12,5764200
tsp01;1; 9;  5;1;13,0785900
tsp01;1; 9; 19;1;13,4784000
tsp01;1; 9; 18;1;14,0932500
tsp01;1; 9;  6;1;14,5621000
tsp01;1; 9; 11;1;15,1952600
tsp01;1; 9;  7;1;15,9421600
tsp01;1; 9; 16;1;16,4446100
tsp01;1; 9; 15;1;17,9757500
tsp01;1;10;  2;1; 1,8961030
tsp01;1;10; 15;1; 2,8278580
tsp01;1;10;  9;1; 5,0774730
tsp01;1;10; 11;1; 5,5109250
tsp01;1;10;  6;1; 5,8772930
tsp01;1;10;  0;1; 6,1950340
tsp01;1;10;  4;1; 6,5798990
tsp01;1;10;  5;1; 7,3461880
tsp01;1;10; 19;1; 7,6784820
tsp01;1;10;  3;1; 8,3448410
tsp01;1;10; 16;1; 8,6955300
tsp01;1;10;  1;1; 9,2603740
tsp01;1;10; 12;1; 9,9114250
tsp01;1;10;  7;1;10,3955500
tsp01;1;10;  8;1;10,8439400
tsp01;1;10; 14;1;11,5600600
tsp01;1;10; 13;1;12,1285300
tsp01;1;10; 17;1;12,6942300
tsp01;1;11;  3;1; 3,8448330
tsp01;1;11; 16;1; 4,8954620
tsp01;1;11;  0;1; 6,3944280
tsp01;1;11; 11;1; 6,9281880
tsp01;1;11;  2;1; 7,2769050
tsp01;1;11;  7;1; 8,2933200
tsp01;1;11;  5;1; 9,1109280
tsp01;1;11; 12;1; 9,6261040
tsp01;1;11; 14;1;10,3764500
tsp01;1;11; 17;1;10,8912900
tsp01;1;11; 13;1;11,2442100
tsp01;1;11;  9;1;11,7934500
tsp01;1;11;  6;1;12,3917300
tsp01;1;11; 15;1;12,7922800
tsp01;1;11;  8;1;13,3262400
tsp01;1;11;  1;1;13,8909900
tsp01;1;11;  4;1;14,4755600
tsp01;1;11; 18;1;15,0594600
tsp01;1;11; 19;1;15,5916300
tsp01;1;11; 10;1;16,4085400
tsp01;1;11;  3;1;17,4748600
tsp01;1;12; 15;1; 6,2878840
tsp01;1;12;  2;1; 7,4375990
tsp01;1;12; 11;1; 8,0204470
tsp01;1;12;  4;1; 9,9877570
tsp01;1;12; 19;1;10,4036100
tsp01;1;12; 14;1;10,8040600
tsp01;1;12;  6;1;11,3202300
tsp01;1;12;  0;1;12,1013600
tsp01;1;12; 17;1;12,4695200
tsp01;1;12; 16;1;13,1527900
tsp01;1;12;  9;1;13,8036100
tsp01;1;12;  7;1;14,4367900
tsp01;1;12; 10;1;14,7694300
tsp01;1;12;  5;1;15,5865300
tsp01;1;12;  1;1;16,6852400
tsp01;1;12;  3;1;17,8525500
tsp01;1;12; 18;1;18,6347700
tsp01;1;12; 12;1;20,6176600
tsp01;1;12;  8;1;21,2185600
tsp01;1;12; 13;1;21,8833100
tsp01;1;12; 15;1;22,8017600
tsp01;1;13; 16;1; 2,9961510
tsp01;1;13; 19;1; 3,9958950
tsp01;1;13; 13;1; 4,6956330
tsp01;1;13;  5;1; 5,2290230
tsp01;1;13; 11;1; 5,5771330
tsp01;1;13;  9;1; 6,0616990
tsp01;1;13;  2;1; 6,6610980
tsp01;1;13; 17;1; 7,2928620
tsp01;1;13; 15;1; 7,9600520
tsp01;1;13;  1;1; 9,9427260
tsp01;1;13;  6;1;11,2099000
tsp01;1;13;  8;1;11,6931700
tsp01;1;13; 10;1;12,3102500
tsp01;1;13; 18;1;12,8430100
tsp01;1;13;  7;1;14,0434900
tsp01;1;13;  3;1;14,6591600
tsp01;1;13; 14;1;15,1264800
tsp01;1;13; 12;1;15,7078000
tsp01;1;13;  4;1;16,1931900
tsp01;1;13;  0;1;16,8932800
tsp01;1;13; 16;1;17,9597300
tsp01;1;14;  2;1; 4,1094440
tsp01;1;14;  8;1; 4,8588180
tsp01;1;14; 16;1; 5,3915290
tsp01;1;14; 19;1; 8,4920540
tsp01;1;14; 17;1; 8,8912770
tsp01;1;14; 10;1; 9,2590180
tsp01;1;14; 12;1; 9,8406350
tsp01;1;14;  3;1;10,1916100
tsp01;1;14;  5;1;11,6921700
tsp01;1;14;  9;1;12,5251000
tsp01;1;14; 15;1;12,9400300
tsp01;1;14;  6;1;13,6076000
tsp01;1;14;  4;1;14,3913900
tsp01;1;14; 13;1;15,2239400
tsp01;1;14;  1;1;17,3413400
tsp01;1;14; 14;1;18,0889900
tsp01;1;14;  7;1;18,8555900
tsp01;1;14;  0;1;19,5579500
tsp01;1;14; 18;1;20,0222600
tsp01;1;14; 11;1;20,6052900
tsp01;1;14;  2;1;22,1220300
tsp01;1;15;  2;1; 1,8083920
tsp01;1;15;  4;1; 2,7917630
tsp01;1;15;  7;1; 3,6251030
tsp01;1;15; 11;1; 4,1921390
tsp01;1;15; 10;1; 4,7253230
tsp01;1;15; 19;1; 5,3082500
tsp01;1;15; 12;1; 7,0080150
tsp01;1;15; 17;1; 7,7749980
tsp01;1;15;  5;1;10,4234800
tsp01;1;15;  8;1;11,4235900
tsp01;1;15;  0;1;12,0232000
tsp01;1;15;  3;1;12,9570400
tsp01;1;15; 13;1;13,5062800
tsp01;1;15; 18;1;14,0067800
tsp01;1;15; 15;1;15,8711500
tsp01;1;15;  6;1;16,5211000
tsp01;1;15;  1;1;17,1227800
tsp01;1;15; 16;1;17,8203900
tsp01;1;15;  9;1;18,2720100
tsp01;1;15; 14;1;19,4701200
tsp01;1;15;  2;1;20,0723600
tsp01;1;16;  2;1; 1,6911240
tsp01;1;16;  3;1; 2,7410700
tsp01;1;16; 11;1; 3,0409550
tsp01;1;16; 14;1; 3,7241360
tsp01;1;16;  0;1; 4,3739970
tsp01;1;16;  5;1; 4,9738270
tsp01;1;16; 17;1; 5,5736960
tsp01;1;16; 15;1; 5,9071430
tsp01;1;16;  9;1; 6,7235600
tsp01;1;16;  8;1; 7,7067830
tsp01;1;16;  7;1; 8,2898040
tsp01;1;16;  4;1; 8,5900340
tsp01;1;16; 19;1; 9,2565670
tsp01;1;16; 16;1; 9,6064620
tsp01;1;16;  6;1;10,2563000
tsp01;1;16; 10;1;10,9395100
tsp01;1;16; 18;1;11,5060700
tsp01;1;16;  1;1;11,8560300
tsp01;1;16; 12;1;12,6398000
tsp01;1;16; 13;1;13,2225400
tsp01;1;16;  2;1;13,9722700
tsp01;1;16;  2;0;20,5542900
tsp01;1;16; 13;0;21,8206200
tsp01;1;16; 12;0;22,3876500
tsp01;1;17; 10;1; 5,1094400
tsp01;1;17; 13;1; 6,1281470
tsp01;1;17;  3;1; 8,6608770
tsp01;1;17; 17;1; 9,0946870
tsp01;1;17;  6;1; 9,7597560
tsp01;1;17;  4;1;10,3253700
tsp01;1;17; 16;1;10,6267100
tsp01;1;17;  9;1;11,0602200
tsp01;1;17; 15;1;11,6098600
tsp01;1;17; 11;1;12,1761700
tsp01;1;17;  1;1;12,5602000
tsp01;1;17; 19;1;13,2104500
tsp01;1;17; 18;1;13,8091100
tsp01;1;17; 12;1;14,2096500
tsp01;1;17;  0;1;14,9254900
tsp01;1;17; 14;1;15,5760200
tsp01;1;17;  8;1;16,1428400
tsp01;1;17;  2;1;16,5422900
tsp01;1;17;  7;1;18,1239100
tsp01;1;17;  5;1;18,8091200
tsp01;1;17; 10;1;19,6593700
tsp01;1;18;  2;1; 2,1235620
tsp01;1;18; 17;1; 2,6231990
tsp01;1;18;  1;1; 2,9896240
