pID;instanceNumber;block;trial;answer;correct;timeSpent;randomYes.1.Left.No.Right.Yes.;error;v;l;id;type;sol;nVariables;nLiterals;nClauses;ratio;phaseT;region;solution;solvetime;restarts;conflicts;decisions;propagations;clauses;literals
sat02;11;2; 1;1;1; 41,6243200;0;NA;3,4,5,3,4,5,1,2,3,1,3,5,1,2,3,1,3,4,2,4,5,2,3,4,1,3,5,3,4,5,3,4,5,2,4,5,1,2,4,2,3,4,1,2,5,1,2,3,1,2,4,3,4,5,2,3,4,1,2,4,1,4,5,1,2,5,2,3,5,2,4,5;0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0;4.8-472;2;1;5; 72;24;4,8;1;Phase Transition;1;0,000;1;0;3; 5;24;5
sat02;12;3;15;0;0; 56,5906400;0;NA;1,3,5,1,3,4,1,3,5,1,3,5,1,2,3,2,3,5,1,4,5,1,4,5,1,2,3,2,4,5,3,4,5,2,3,4,1,3,5,1,2,5,1,2,3,1,2,4,1,3,5,1,2,3,2,4,5,2,3,5,1,3,4,1,2,5,1,2,5,2,3,5;1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0;4.8-962;2;1;5; 72;24;4,8;1;Phase Transition;1;0,000;1;0;3; 5;24;5
sat02;13;2;15;1;1; 35,3596200;1;NA;3,4,5,3,4,5,1,2,3,2,4,5,1,3,5,2,3,5,1,4,5,1,4,5,1,3,4,1,3,5,2,3,4,2,3,5,1,3,4,1,2,5,1,2,5,1,2,3,1,3,4,3,4,5,2,4,5,1,2,4,1,4,5,1,2,4,1,2,5,2,3,5;0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0;4.8-996;2;1;5; 72;24;4,8;1;Phase Transition;1;0,000;1;0;3; 5;24;5
sat02;14;4;15;0;0; 81,7660600;0;NA;3,4,5,1,3,4,1,3,5,1,2,3,1,2,3,1,2,5,1,3,5,2,3,4,1,3,4,3,4,5,1,3,5,1,3,4,1,2,4,1,2,5,1,2,5,1,2,3,3,4,5,2,3,4,1,4,5,2,4,5,1,3,4,1,2,5,1,4,5,1,2,4;0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1;4.8-923;2;1;5; 72;24;4,8;1;Phase Transition;1;0,989;1;0;3; 5;24;5
sat02;15;1; 1;1;1; 59,6421800;0;NA;1,3,5,3,4,5,2,3,4,1,4,5,1,2,3,1,3,4,3,4,5,2,3,4,1,3,4,1,3,4,1,2,4,1,4,5,2,3,4,1,2,5,1,2,3,1,2,3,1,2,3,1,3,4,3,4,5,1,4,5,1,2,4,2,3,5,2,3,4,1,2,4;1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1;4.8-462;2;1;5; 72;24;4,8;1;Phase Transition;1;0,000;1;0;4; 5;24;5
sat02;16;1;15;0;0; 55,3236200;0;NA;1,3,5,3,4,5,1,2,3,1,3,4,1,2,5,1,3,5,1,2,3,1,3,4,1,2,3,1,4,5,1,4,5,1,2,5,1,2,4,1,2,5,1,2,4,1,2,3,2,3,4,2,4,5,2,4,5,3,4,5,1,4,5,2,4,5,1,4,5,2,3,4;1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1;4.8-167;2;1;5; 72;24;4,8;1;Phase Transition;1;0,973;1;0;3; 5;24;5
sat02;17;3; 7;0;1; 92,3167000;1;NA;1,3,5,1,3,5,1,2,3,3,4,5,1,2,5,1,4,5,1,3,4,2,4,5,1,4,5,2,3,4,2,3,4,1,3,4,2,3,5,1,2,4,2,3,5,1,2,3,1,3,5,2,4,5,2,4,5,2,3,4,1,2,4,2,3,4,2,3,5,3,4,5;1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1;4.8-286;3;0;5; 72;24;4,8;1;Phase Transition;0;0,000;1;5;4;11;24;5
sat02;18;4; 7;0;1; 67,8875300;1;NA;3,4,5,1,3,5,2,3,5,1,3,4,1,2,3,1,2,5,1,4,5,1,4,5,1,4,5,1,2,5,1,3,5,3,4,5,1,3,5,1,2,3,1,2,5,1,3,4,2,4,5,1,2,4,1,4,5,1,2,4,1,3,4,1,2,5,2,3,5,3,4,5;0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1;4.8-723;3;0;5; 72;24;4,8;1;Phase Transition;0;0,984;1;4;4;11;24;5
sat02;19;2; 7;0;1; 60,2214000;0;NA;1,3,5,1,4,5,3,4,5,1,2,3,2,3,4,1,4,5,1,3,5,1,4,5,1,3,5,2,3,4,2,3,4,1,3,4,2,3,5,1,2,3,1,2,3,1,2,3,1,3,5,2,3,5,2,3,5,1,2,5,1,2,5,2,3,4,1,4,5,3,4,5;1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1;4.8-912;3;0;5; 72;24;4,8;1;Phase Transition;0;0,000;1;4;3;10;24;5
sat02;20;3; 8;0;1; 71,9539300;1;NA;1,3,5,1,2,5,1,3,5,1,3,4,3,4,5,2,3,5,2,3,4,1,2,5,1,3,4,2,4,5,2,4,5,2,3,4,1,3,5,2,3,4,1,2,3,1,2,3,3,4,5,3,4,5,2,3,5,1,4,5,1,2,5,2,3,5,1,4,5,2,3,4;1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0;4.8-374;3;0;5; 72;24;4,8;1;Phase Transition;0;0,000;1;4;4;10;24;5
